"Timestamp","Whom do you consider an ideal scientist?","What should be the most accurate metrics to judge the caliber of a scientist?","What according to you should be the minimum educational qualification one should have to be considered a scientist?","What do you think should be the most developed trait which one should have to become a successful scientist?","What is the first thought which you have when you hear the word 'Scientist'","Why do you think people want to be a scientist?","What should be a scientist’s first priority?","Do you think that scientists should be allowed to conduct unethical experiments for the sake of science","Should a scientist prioritize science over social ethics and social norms for the sake of greater good","What do you think is the most important stimulus to a scientist","How  do scientists help common people?","Are scientists more biased towards theoretical aspects of science rather than the practical side of it.","Do you think that scientists are slowly getting replaced by engineers and doctors as they are more focused towards the theoretical aspect of science. "
"2021/11/28 6:07:14 AM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The amount of knowledge and wisdom which one has","10th pass","Intelligence","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Social Status and financial stability","Development of the subject itself","I choose not to answer this question","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","Yes","Yes, indeed they are slowly getting less important to the society"
"2021/11/28 8:04:54 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Someone who is busy to discover the next big thing and make this world a better place.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:05:50 AM GMT+5:30","Someone whose only aim is development of science","The impact which he/she is making on the society","Does Not matter","Foresight","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","I choose not to answer this question","No","Curiosity and personal interest","They answering the great mysteries of the universe","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:06:16 AM GMT+5:30","Someone whose only aim is development of science","The impact which he/she is making on the society","Doctorate","High motivation","Some with odd hair, thick glasses wearing a lab coat and working in some secret lab.","It sounds fancy and people think that you are very smart","Working on what he is interested on","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:07:19 AM GMT+5:30","Someone who helps the society to utilize science","Number of good publications and patents","Does Not matter","Hardworking","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:07:39 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Foresight","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:08:31 AM GMT+5:30","Someone whose only aim is development of science","The amount of knowledge and wisdom which one has","Does Not matter","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Development of the subject itself","I choose not to answer this question","No","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:09:02 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Doctorate","High motivation","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:09:37 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","High motivation","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:10:06 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Creative","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:11:27 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Doctorate","High motivation","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:13:23 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Imo, a scientist's main stimulus is the longing to learn every secret of the world, so as to understand it thoroughly and thereby be prepared if something  goes wrong","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:13:27 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","High motivation","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:14:47 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Doctorate","High motivation","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:16:32 AM GMT+5:30","Someone who studies science and has a decent amount of knowledge on the subject","The amount of knowledge and wisdom which one has","Does Not matter","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Developing ones knowledge","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They answering the great mysteries of the universe","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:16:56 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","Yes","Dream of a better future(Colonizing Mars for example)","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:17:58 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:19:31 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Does Not matter","Hardworking","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:22:13 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Does Not matter","Creative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Developing ones knowledge","I choose not to answer this question","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:23:53 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","Number of good publications and patents","Post Doctorate","Innovative","A normal person with high motivation and extreme love for science.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:25:07 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","Number of good publications and patents","Does Not matter","High motivation","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Love for the subject","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:25:34 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Doctorate","High motivation","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","It sounds fancy and people think that you are very smart","Working on what he is interested on","I choose not to answer this question","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:26:44 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The impact which he/she is making on the society","Doctorate","Innovative","A normal person with high motivation and extreme love for science.","It sounds fancy and people think that you are very smart","Development of the subject itself","Yes, it will help science a lot and widen our research field.","Yes","Curiosity and personal interest","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:26:49 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Foresight","A normal person with high motivation and extreme love for science.","It sounds fancy and people think that you are very smart","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:26:49 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Creative","A normal person with high motivation and extreme love for science.","Desire to make great discoveries and to solve  global problems","Development of the society","I choose not to answer this question","Yes","Social Need or Scarcity(Covid-19 Vaccine research for example)","They develop new technologies and gadgets to make our life easy","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:27:29 AM GMT+5:30","Someone who helps the society to utilize science","The amount of knowledge and wisdom which one has","Doctorate","Hardworking","Someone crazy who leave everything ( Social life, friends , family) for the sake of science.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:27:31 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Post Doctorate","Innovative","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the society","No, it will be unethical and disturb the basic fabric of the society","No","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:30:33 AM GMT+5:30","Someone who enjoys to work with science and takes it as a career","The amount of knowledge and wisdom which one has","Doctorate","Innovative","A normal person with high motivation and extreme love for science.","Love for the subject","Development of the subject itself","No, it will be unethical and disturb the basic fabric of the society","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They improve education and adds to the knowledge on various aspects","No","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:30:46 AM GMT+5:30","Someone who helps the society to utilize science","The impact which he/she is making on the society","Does Not matter","Innovative","Someone crazy who leave everything ( Social life, friends , family) for the sake of science.","It sounds fancy and people think that you are very smart","Development of the society","I choose not to answer this question","No","Social Need or Scarcity(Covid-19 Vaccine research for example)","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
"2021/11/28 8:31:43 AM GMT+5:30","Someone who helps the society to utilize science","The amount of knowledge and wisdom which one has","Post Graduate","Innovative","Some one who tries to find reason in everything and wants to uncover every secret of the universe.","Desire to make great discoveries and to solve  global problems","Working on what he is interested on","No, it will be unethical and disturb the basic fabric of the society","Yes","Curiosity and personal interest","They address issues on health, defense, climate  etc through their discoveries","Yes","Scientist can never get replaced by the professionals(engineers/doctors) ."
