Whom do you consider an ideal scientist?,What should be the most accurate metrics to judge the caliber of a scientist?,What according to you should be the minimum educational qualification one should have to be considered a scientist?,What do you think should be the most developed trait which one should have to become a successful scientist?,What is the first thought which you have when you hear the word 'Scientist',Why do you think people want to be a scientist?,What should be a scientist’s first priority?,Do you think that scientists should be allowed to conduct unethical experiments for the sake of science,Should a scientist prioritize science over social ethics and social norms for the sake of greater good,What do you think is the most important stimulus to a scientist,How  do scientists help common people?,Are scientists more biased towards theoretical aspects of science rather than the practical side of it.,Do you think that scientists are slowly getting replaced by engineers and doctors as they are more focused towards the theoretical aspect of science. 
0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,0,0,0,1,1,1
2,1,1,2,2,2,1,0,1,0,2,0,1
2,1,2,3,3,3,1,1,0,0,3,1,1
1,2,1,4,2,1,2,2,1,1,1,0,1
3,1,1,2,2,2,1,1,0,0,1,1,1
2,0,1,5,0,2,0,0,1,0,0,1,1
3,0,2,3,2,2,1,0,0,0,0,1,1
1,1,1,3,2,2,1,2,1,0,1,1,1
3,1,1,5,2,2,0,2,1,0,1,1,1
3,0,2,3,2,1,3,2,0,0,1,1,1
1,1,1,1,0,1,2,2,1,3,0,1,1
3,0,1,3,0,1,3,2,1,0,3,0,1
3,1,2,3,0,2,1,0,0,0,1,0,1
0,0,1,5,0,2,3,2,1,0,2,0,1
1,1,1,5,0,1,0,2,0,2,1,1,1
1,1,1,1,0,1,1,2,0,0,3,1,1
3,0,1,4,2,2,1,0,0,0,1,0,1
3,1,1,5,0,2,3,0,0,0,0,1,1
3,2,3,1,2,2,1,0,0,0,3,1,1
3,2,1,3,0,2,1,0,0,0,0,1,1
1,1,2,3,0,3,1,0,0,0,1,1,1
3,1,2,1,2,3,0,1,0,0,3,1,1
1,1,1,2,2,3,0,2,1,0,1,1,1
1,1,1,5,2,1,2,0,0,1,3,1,1
1,0,2,4,4,1,1,2,1,0,1,0,1
1,1,3,1,2,2,2,2,1,0,1,1,1
3,0,2,1,2,2,0,2,1,1,0,1,1
1,1,1,1,4,3,2,0,1,1,1,0,1
1,0,4,1,0,1,1,2,0,0,1,0,1
1,1,1,1,5,1,2,1,0,1,1,1,1
1,1,4,3,1,4,2,2,1,2,1,0,1
3,1,1,5,2,1,3,2,0,0,2,0,1
0,1,3,3,2,2,0,2,1,1,0,1,1
1,1,1,1,2,5,2,0,0,0,0,0,0
1,1,5,2,1,1,2,2,1,1,1,1,0
1,1,4,2,5,3,0,0,0,1,0,1,1
2,0,1,2,4,1,3,1,0,0,3,1,1
1,1,2,1,1,1,2,1,0,1,3,1,1
1,1,1,4,2,2,2,0,1,1,1,1,1
1,1,1,4,2,1,1,1,0,1,3,1,1
1,1,1,0,0,1,0,0,0,1,1,0,1
0,1,2,5,0,1,0,1,1,2,1,1,0
1,0,2,2,0,5,0,2,0,2,1,1,1
3,0,1,3,0,2,1,2,1,0,1,1,0
3,1,1,5,0,2,1,0,0,3,2,1,1
1,1,1,2,0,1,2,0,0,2,0,1,1
3,0,4,1,0,2,1,2,1,0,2,1,1
3,0,1,5,0,1,3,2,1,0,1,1,1
1,1,1,1,0,2,3,2,0,0,2,1,1
1,0,1,0,0,2,1,2,0,1,1,1,1
2,0,1,5,0,5,1,0,0,0,0,1,1
1,1,0,2,1,1,2,2,0,2,3,1,1
1,1,3,3,1,1,2,1,0,1,3,0,0
3,1,1,1,1,1,2,2,1,0,1,1,1
3,2,1,2,0,2,1,1,0,0,3,1,1
1,1,0,1,3,1,1,2,1,1,1,0,1
2,2,1,4,2,2,0,2,1,2,1,1,1
3,0,1,0,0,1,2,0,0,0,3,1,0
1,1,1,1,0,1,3,1,0,0,1,1,1
1,1,5,5,0,1,2,0,0,2,2,1,1
2,1,1,4,1,1,1,0,0,0,3,1,1
1,1,1,3,2,1,2,0,1,1,1,0,0
0,1,1,2,2,3,0,2,1,1,3,1,0
3,1,1,5,3,5,1,0,0,1,1,0,1
3,2,1,4,2,2,1,2,1,0,1,1,1
3,0,1,5,0,2,1,2,1,0,0,1,1
0,0,1,2,0,2,1,0,1,0,1,0,1
1,1,1,5,0,2,2,2,1,1,1,0,0
2,0,1,3,2,1,1,0,1,0,2,1,1
1,1,4,2,2,2,2,1,1,2,0,1,0
1,1,1,1,0,3,2,0,0,0,1,0,1
3,0,1,5,3,1,1,2,1,3,1,1,1
1,1,1,5,0,2,2,2,0,1,1,1,1
1,1,1,2,1,1,2,2,1,0,1,1,1
1,1,1,1,1,2,2,0,0,0,3,0,0
3,2,1,3,0,2,1,0,1,0,0,1,1
2,0,1,1,2,5,2,2,1,0,0,0,1
1,1,3,2,1,2,1,0,1,1,1,1,0
3,0,1,2,0,2,1,2,1,0,1,1,0
1,1,1,5,1,1,2,0,0,2,3,1,1
3,1,1,4,2,2,2,2,1,1,3,1,1
2,2,5,3,2,2,3,2,1,0,3,1,1
3,1,3,3,2,0,3,2,1,0,3,0,0
2,0,1,4,0,2,3,2,1,1,0,1,1
1,1,1,4,2,2,2,2,0,2,0,1,0
1,1,1,1,0,1,2,0,1,1,2,1,1
1,1,1,1,0,2,2,2,0,2,3,0,1
3,1,2,3,2,2,3,2,0,0,1,1,0
1,1,1,2,0,1,2,0,1,1,0,0,0
1,1,4,5,1,1,3,1,1,2,0,1,1
3,1,1,5,0,1,0,1,0,0,1,1,1
1,1,1,3,2,2,0,0,1,0,0,1,1
1,1,1,5,1,1,1,1,0,0,1,1,1
3,0,1,5,2,2,1,0,0,0,0,1,1
1,1,1,1,2,5,2,2,0,0,1,0,0
3,1,2,1,4,1,1,2,1,1,3,1,1
1,1,1,5,2,2,1,2,1,0,1,1,1
1,1,1,1,2,1,2,1,0,0,0,1,1
1,0,1,3,2,2,1,0,1,2,1,1,1
3,1,4,4,4,4,1,0,1,2,1,1,1
1,2,2,1,1,2,1,2,0,3,0,1,1
3,2,2,1,0,2,1,0,0,0,3,1,0
1,1,1,3,0,2,2,2,1,2,1,0,1
3,1,3,3,0,1,2,2,0,0,0,1,0
2,1,2,1,0,1,0,0,0,2,0,0,1
2,1,1,3,1,2,1,2,1,0,2,0,1
1,1,1,3,0,2,1,2,1,0,1,1,0
2,2,2,1,2,1,0,2,1,0,2,1,1
2,0,1,1,2,2,0,0,0,1,0,1,1
1,1,1,1,0,1,0,2,0,0,1,1,1
2,1,1,4,0,2,1,2,0,0,1,0,1
0,0,1,2,0,2,3,2,0,0,3,1,1
3,0,1,5,2,0,1,0,1,0,2,1,0
2,2,2,3,0,1,3,0,1,0,0,0,1
3,1,1,1,2,1,1,0,0,1,3,0,1
0,0,2,1,0,2,1,0,1,3,1,1,1
3,0,1,2,2,0,0,2,1,1,1,1,1
2,2,3,1,0,2,0,0,0,1,1,0,1
1,0,3,0,0,2,2,0,1,2,0,0,1
0,0,1,0,2,5,3,2,1,0,0,0,1
1,1,2,4,2,2,0,0,0,0,1,1,1
1,0,2,4,2,2,3,1,0,1,0,0,1
0,0,4,1,2,0,3,2,0,0,0,0,1
2,2,2,2,0,1,1,1,1,2,3,0,1
3,0,5,5,2,1,1,2,1,0,0,1,1
1,1,1,4,0,4,2,1,0,0,2,0,1
0,0,1,0,0,2,1,0,0,0,3,0,1
1,1,1,5,2,3,2,2,0,1,1,0,1
2,0,1,5,0,2,3,0,0,2,1,1,1
3,0,1,5,2,2,1,0,0,0,0,0,0
2,1,2,5,0,1,0,0,0,0,2,0,1
1,1,1,4,5,2,1,2,1,0,1,0,0
1,1,1,1,2,2,1,0,0,0,0,0,1
1,1,5,1,0,1,3,0,0,2,0,1,1
3,1,1,1,0,3,1,2,1,2,3,1,1
1,1,1,5,2,1,1,2,1,1,0,1,1
3,1,1,1,2,1,1,1,0,0,1,1,1
3,0,2,2,0,2,1,0,0,0,0,0,1
2,2,1,1,5,2,1,2,0,0,0,0,1
1,1,1,1,0,1,1,0,0,0,1,1,1
3,0,1,1,3,2,1,0,1,0,1,1,1
2,0,2,5,0,2,1,0,0,0,2,1,1
3,1,1,3,2,2,3,2,1,0,3,0,1
3,1,1,2,0,5,2,1,1,0,1,0,0
3,0,1,5,2,1,1,0,1,0,2,0,1
0,1,1,1,2,5,3,1,0,3,0,1,1
0,0,5,5,0,2,3,1,0,0,0,1,1
1,2,1,1,1,2,1,0,0,2,0,0,0
3,0,1,5,1,1,1,2,1,0,3,1,1
2,0,1,4,0,2,0,0,0,0,1,1,1
2,0,1,3,2,5,0,2,1,0,0,1,1
1,1,1,4,2,3,3,0,1,3,0,1,1
3,0,1,5,2,1,3,0,0,0,0,1,1
2,0,1,1,3,2,0,0,0,0,0,0,1
0,1,3,5,1,3,1,0,0,1,3,1,1
1,1,1,1,0,1,2,0,1,1,3,1,0
1,0,1,4,1,2,1,0,0,0,3,1,1
3,1,1,1,4,1,2,1,0,2,2,0,0
1,1,2,1,0,3,0,0,1,1,0,0,0
2,0,1,1,4,1,2,2,0,0,0,1,1
0,0,2,4,0,1,3,2,1,1,0,0,0
1,0,1,3,0,1,1,2,0,2,1,1,0
3,0,1,2,2,2,1,1,0,0,0,1,1
1,1,2,1,0,3,1,2,1,0,0,1,1
0,1,1,1,0,1,1,1,0,0,1,0,1
2,0,4,5,2,3,0,0,1,1,1,1,1
2,0,2,5,0,1,1,2,1,0,1,1,1
3,2,1,5,2,2,0,1,0,0,2,0,1
1,3,0,4,3,5,2,1,0,1,1,0,0
0,1,1,5,2,2,0,2,0,0,0,1,0
1,0,1,3,2,2,1,2,1,0,0,1,0
1,1,5,1,2,1,2,2,0,1,3,1,1
1,1,1,1,0,1,2,2,0,1,1,1,1
1,1,1,0,0,5,1,2,1,1,3,1,1
1,1,2,2,0,1,2,2,1,0,1,0,1
2,1,4,2,2,2,2,2,1,0,1,0,0
2,0,2,5,2,2,1,0,0,2,0,1,1
3,1,1,1,2,1,1,0,0,0,0,1,0
3,2,4,0,0,1,1,1,0,0,1,1,1
2,0,2,3,5,2,2,0,1,0,2,1,1
3,2,2,4,2,2,0,2,1,0,1,1,1
2,1,1,2,0,2,0,2,1,0,1,1,1
0,1,1,5,3,3,0,1,0,1,1,0,0
1,1,1,1,0,1,2,2,1,1,0,1,0
1,1,1,1,1,1,2,2,1,1,1,1,0
3,0,1,3,2,1,1,1,0,1,3,1,1
3,1,2,5,0,2,1,0,1,2,0,1,1
1,1,5,1,0,2,3,0,0,0,0,1,1
1,1,5,1,0,1,2,0,0,1,0,1,0
3,1,1,2,0,2,3,0,0,0,2,1,1
3,0,1,5,0,1,1,0,0,0,1,1,0
0,0,2,1,0,2,1,1,0,0,3,1,1
3,1,4,3,0,3,0,2,1,0,1,1,1
3,1,2,1,0,2,1,2,1,1,1,1,1
3,1,5,3,2,2,1,1,0,0,0,0,1
1,1,4,1,1,1,1,2,1,2,1,0,0
3,1,1,1,0,1,1,0,0,0,2,0,1
0,2,1,3,0,1,1,2,1,0,0,0,1
3,3,4,5,0,0,0,1,0,0,0,1,1
1,1,1,1,0,1,3,1,1,1,3,0,0
1,1,1,2,0,1,2,2,1,1,1,1,1
1,1,1,5,0,1,2,0,1,0,0,1,1
3,0,1,5,4,5,1,2,0,0,2,1,0
3,1,1,5,0,2,1,2,0,0,2,1,1
2,1,1,1,1,1,2,1,0,1,3,1,1
1,1,1,1,1,1,2,2,1,0,1,0,1
3,1,1,1,0,2,3,0,0,0,0,1,1
1,0,6,1,1,2,2,1,0,0,2,1,1
1,1,1,2,2,1,2,2,1,1,3,0,0
1,0,5,1,0,1,0,2,1,1,0,1,0
1,1,1,1,3,5,2,1,1,0,0,1,1
3,1,3,1,0,1,1,0,0,0,0,1,1
0,2,3,0,0,2,1,0,0,0,1,1,1
1,1,1,4,5,5,3,2,0,0,3,1,1
3,0,1,1,5,1,2,1,1,0,1,1,1
1,1,1,5,2,5,2,2,0,0,2,0,0
3,1,1,5,0,1,2,0,1,2,2,1,0
3,2,4,1,2,1,0,2,1,2,1,1,1
1,2,2,1,0,2,1,2,1,1,1,1,1
1,1,1,1,1,1,3,0,1,1,1,1,1
3,0,3,1,1,1,1,2,0,1,1,1,1
2,0,2,2,1,0,3,0,0,2,3,1,0
2,0,3,0,2,2,0,0,1,0,0,0,0
0,2,4,0,2,2,1,0,0,0,3,1,1
3,1,4,2,2,2,2,2,0,1,1,1,1
1,1,4,2,3,5,2,0,1,0,1,1,1
1,1,1,5,0,2,2,2,0,1,1,0,1
3,1,4,1,0,1,2,0,0,0,3,1,0
3,2,1,4,2,1,0,2,1,0,2,1,1
3,0,2,1,0,1,0,1,0,0,0,0,1
3,0,1,4,2,1,1,2,1,0,1,1,1
0,2,1,4,0,2,1,0,1,0,2,0,1
3,0,1,3,2,2,1,2,1,1,1,1,1
2,1,1,5,0,2,0,2,1,0,1,0,1
2,1,1,1,1,2,1,0,0,2,0,1,1
3,1,1,4,2,2,0,2,1,2,2,1,1
3,2,3,2,5,2,3,2,1,0,1,0,1
0,0,1,2,2,2,1,2,1,3,2,1,1
3,0,1,5,0,2,1,1,0,0,2,1,1
1,0,1,0,1,2,1,2,0,0,1,1,1
3,0,5,5,2,2,1,1,0,0,2,1,1
2,0,2,1,2,1,0,0,0,2,2,1,1
1,1,0,2,0,2,1,0,1,0,2,1,1
2,0,3,5,1,1,0,1,0,2,1,0,1
3,0,2,4,1,1,0,2,0,0,3,0,1
3,0,1,2,2,2,1,2,0,0,0,1,0
0,1,1,2,2,2,1,0,0,0,2,0,1
3,2,4,1,1,1,1,0,0,2,3,1,1
3,0,5,1,0,2,2,1,0,1,2,0,1
2,1,2,2,0,1,1,0,0,2,1,1,1
0,0,1,5,0,2,1,2,1,0,0,0,1
1,1,1,5,2,2,2,2,1,1,0,1,1
3,0,1,3,0,2,1,2,1,0,2,0,0
0,0,0,0,1,3,3,2,1,0,2,1,0
1,1,1,3,2,1,2,2,1,1,1,1,1
1,2,5,5,0,1,1,0,0,0,2,1,1
2,1,2,4,2,3,1,1,0,2,0,0,0
3,0,6,3,0,2,1,0,0,0,2,1,0
3,2,4,5,2,2,1,0,1,0,1,1,1
3,2,2,3,0,2,3,1,0,0,1,0,0
3,1,1,3,2,2,1,0,0,0,2,1,1
3,2,2,5,2,2,0,2,1,2,1,1,1
1,1,1,1,1,1,3,0,0,0,1,1,1
